vek;pohlavie;roky praxe;panas1;panas2;panas3;panas4;panas5;panas6;panas7;panas8;panas9;panas10;panas11;panas12;panas13;panas14;panas15;panas16;panas17;panas18;panas19;panas20;framingpoz_cas;framing pozitivny;framingneg_cas;framing negativny;1cas;1odpoved;1vyhodnotenie;2cas;2odpoved;2vyhodnotenie;3cas;3odpoved;3vyhodnotenie;4cas;4odpoved;4vyhodnotenie;5cas;5odpoved;5vyhodnotenie;6cas;6odpoved;6vyhodnotenie;7cas;7odpoved;7vyhodnotenie;8cas;8odpoved;8vyhodnotenie;9cas;9odpoved;9vyhodnotenie;10cas;10odpoved;10vyhodnotenie;11cas;11odpoved;11vyhodnotenie;12cas;12odpoved;12vyhodnotenie;13cas;13odpoved;13vyhodnotenie;14cas;14odpoved;14vyhodnotenie;15cas;15odpoved;15vyhodnotenie;16cas;16odpoved;16vyhodnotenie;17cas;17odpoved;17vyhodnotenie;18cas;18odpoved;18vyhodnotenie;19cas;19odpoved;19vyhodnotenie;20cas;20odpoved;20vyhodnotenie;21cas;21odpoved;21vyhodnotenie;22cas;22odpoved;22vyhodnotenie;23cas;23odpoved;23vyhodnotenie;24cas;24odpoved;24vyhodnotenie;25cas;25odpoved;25vyhodnotenie;26cas;26odpoved;26vyhodnotenie;27cas;27odpoved;27vyhodnotenie;28cas;28odpoved;28vyhodnotenie;29cas;29odpoved;29vyhodnotenie;30cas;30odpoved;30vyhodnotenie;31cas;31odpoved;31vyhodnotenie;32cas;32odpoved;32vyhodnotenie;33cas;33odpoved;33vyhodnotenie;34cas;34odpoved;34vyhodnotenie;35cas;35odpoved;35vyhodnotenie;36cas;36odpoved;36vyhodnotenie;37cas;37odpoved;37vyhodnotenie;38cas;38odpoved;38vyhodnotenie;39cas;39odpoved;39vyhodnotenie;40cas;40odpoved;40vyhodnotenie;41cas;41odpoved;41vyhodnotenie;42cas;42odpoved;42vyhodnotenie;43cas;43odpoved;43vyhodnotenie;44cas;44odpoved;44vyhodnotenie;45cas;45odpoved;45vyhodnotenie;46cas;46odpoved;46vyhodnotenie;47cas;47odpoved;47vyhodnotenie;48cas;48odpoved;48vyhodnotenie;49cas;49odpoved;49vyhodnotenie;50cas;50odpoved;50vyhodnotenie;51cas;51odpoved;51vyhodnotenie;52cas;52odpoved;52vyhodnotenie;53cas;53odpoved;53vyhodnotenie;54cas;54odpoved;54vyhodnotenie;55cas;55odpoved;55vyhodnotenie;56cas;56odpoved;56vyhodnotenie;57cas;57odpoved;57vyhodnotenie;58cas;58odpoved;58vyhodnotenie;59cas;59odpoved;59vyhodnotenie;60cas;60odpoved;60vyhodnotenie;61cas;61odpoved;61vyhodnotenie;62cas;62odpoved;62vyhodnotenie;63cas;63odpoved;63vyhodnotenie;64cas;64odpoved;64vyhodnotenie;65cas;65odpoved;65vyhodnotenie;66cas;66odpoved;66vyhodnotenie;67cas;67odpoved;67vyhodnotenie;68cas;68odpoved;68vyhodnotenie;69cas;69odpoved;69vyhodnotenie;70cas;70odpoved;70vyhodnotenie;71cas;71odpoved;71vyhodnotenie;72cas;72odpoved;72vyhodnotenie;73cas;73odpoved;73vyhodnotenie;74cas;74odpoved;74vyhodnotenie;75cas;75odpoved;75vyhodnotenie;76cas;76odpoved;76vyhodnotenie;77cas;77odpoved;77vyhodnotenie;78cas;78odpoved;78vyhodnotenie;79cas;79odpoved;79vyhodnotenie;80cas;80odpoved;80vyhodnotenie;81cas;81odpoved;81vyhodnotenie;82cas;82odpoved;82vyhodnotenie;83cas;83odpoved;83vyhodnotenie;84cas;84odpoved;84vyhodnotenie;85cas;85odpoved;85vyhodnotenie;86cas;86odpoved;86vyhodnotenie;87cas;87odpoved;87vyhodnotenie;88cas;88odpoved;88vyhodnotenie;89cas;89odpoved;89vyhodnotenie;90cas;90odpoved;90vyhodnotenie;91cas;91odpoved;91vyhodnotenie;92cas;92odpoved;92vyhodnotenie;93cas;93odpoved;93vyhodnotenie;94cas;94odpoved;94vyhodnotenie;95cas;95odpoved;95vyhodnotenie;96cas;96odpoved;96vyhodnotenie;97cas;97odpoved;97vyhodnotenie;98cas;98odpoved;98vyhodnotenie;99cas;99odpoved;99vyhodnotenie;100cas;100odpoved;100vyhodnotenie;PNS1;PNS2;PNS3;PNS4;PNS5;PNS6;PNS7;PNS8;PNS9;PNS10;PNS11;PNS12;REI1;REI2;REI3;REI4;REI5;REI6;REI7;REI8;REI9;REI10;REI11;REI12;REI13;REI14;REI15;REI16;REI17;REI18;REI19;REI20;REI21;REI22;REI23;REI24;REI25;REI26;REI27;REI28;REI29;REI30;REI31;REI32;REI33;REI34;REI35;REI36;REI37;REI38;REI39;REI40;cislelny kod;nalada

54;F;12;4;2;3;3;5;3;2;1;5;4;3;2;2;3;4;2;3;3;3;3;3024;b;2520;b;1336;black;false;314;red;true;376;yellow;false;270;green;false;351;yellow;false;319;red;false;320;black;false;224;black;false;177;black;false;311;red;false;177;red;false;399;yellow;false;169;yellow;false;423;green;false;176;green;true;480;yellow;false;208;yellow;false;406;red;true;170;red;false;416;black;false;176;black;false;312;black;false;176;black;false;176;black;true;160;black;false;185;black;false;175;black;false;224;black;false;216;black;false;152;black;true;176;black;false;184;black;false;208;black;false;176;black;false;192;black;false;184;black;false;176;black;false;184;black;false;168;black;false;176;black;false;176;black;false;448;red;false;362;yellow;false;320;green;false;334;yellow;true;320;red;false;368;yellow;true;393;green;false;303;yellow;true;311;red;true;361;yellow;false;337;green;false;558;black;false;185;black;false;176;black;false;168;black;false;431;red;true;344;yellow;true;385;green;false;303;yellow;false;352;red;false;353;black;true;369;red;true;334;yellow;true;298;green;true;326;yellow;false;331;red;false;310;black;false;384;red;false;215;red;false;168;red;true;168;red;false;377;yellow;false;306;red;false;286;yellow;false;314;red;true;302;yellow;true;280;red;true;432;green;true;610;black;true;454;green;true;465;black;false;520;green;false;488;black;false;366;red;false;290;yellow;false;326;red;false;281;yellow;true;287;red;true;337;yellow;false;247;red;true;322;yellow;true;344;red;true;270;yellow;false;320;red;false;448;black;false;224;black;false;184;black;false;185;black;false;463;green;false;3;4;3;1;6;6;4;4;4;5;1;2;5;3;3;6;3;5;3;2;2;4;2;6;6;6;4;3;3;3;3;3;2;1;1;3;2;6;4;4;2;6;5;3;3;5;6;2;3;4;5;1;550254;negative
25;M;2;1;1;2;1;5;1;1;1;5;5;1;1;1;5;1;5;5;1;5;1;22512;b;21111;b;7008;green;true;5447;red;true;6696;green;true;10184;red;true;2912;green;true;1839;red;false;4648;red;true;7506;green;false;4886;red;true;11544;black;true;3400;green;false;5783;black;true;5736;red;true;5080;yellow;true;3527;green;true;1656;black;true;4279;green;true;5248;yellow;false;1608;black;true;1176;yellow;true;2584;red;true;6464;yellow;true;3672;red;true;3872;black;true;2032;yellow;false;3271;red;true;2416;yellow;true;4080;red;true;6352;green;true;2352;black;true;1640;green;true;2296;yellow;true;2488;red;true;3296;yellow;true;2152;green;true;1704;red;true;1911;green;true;4928;yellow;true;4392;red;true;1464;green;true;1112;red;true;2528;green;false;4472;red;false;1488;black;true;1312;yellow;true;1400;green;true;2207;yellow;true;3200;red;false;2216;yellow;true;1745;red;true;1879;green;true;5192;red;true;3552;green;true;3968;red;true;1272;green;true;1791;red;false;2537;red;true;4927;red;false;2336;red;true;5288;black;true;2992;yellow;true;1456;black;true;5648;red;true;1336;yellow;true;1688;green;true;1688;black;true;1712;green;true;2023;green;false;1232;black;true;1296;yellow;true;1904;red;true;1664;yellow;true;2512;red;true;3680;black;true;3496;yellow;false;1704;red;true;2352;red;false;2064;red;true;3360;yellow;false;1360;black;true;1408;green;true;1944;yellow;true;1807;red;true;3025;yellow;true;1535;green;true;1912;red;true;1288;green;true;3504;red;false;1224;red;true;1360;green;true;2440;red;true;1296;red;false;1760;red;true;1136;black;true;1687;red;false;1105;yellow;false;1120;red;false;930;red;false;1101;red;false;2376;red;true;4;1;4;4;1;3;2;1;1;1;2;4;6;4;6;4;5;3;6;1;3;1;3;5;4;1;3;4;6;4;2;4;5;4;6;1;3;3;5;3;4;3;5;3;6;3;5;2;4;3;4;3;273364;positive
39;F;23;3;1;1;3;4;1;1;1;3;5;2;4;1;4;2;3;4;1;3;1;2223;b;1920;b;6192;green;true;1424;yellow;false;2336;green;true;1216;yellow;false;1383;green;true;1376;red;false;1832;yellow;false;1024;yellow;true;1648;red;true;2016;black;true;5008;yellow;true;1752;black;true;1552;yellow;false;816;yellow;true;1952;green;true;1807;black;true;3703;green;true;1136;yellow;false;1816;black;true;2560;yellow;true;1096;yellow;false;1088;yellow;true;824;yellow;false;1480;black;true;2224;green;true;1640;yellow;false;1064;yellow;true;1119;yellow;false;3705;green;true;2239;black;true;2064;green;true;1056;yellow;true;856;yellow;false;880;yellow;true;1288;green;true;1664;yellow;false;1312;green;true;1632;yellow;true;832;yellow;false;1800;green;true;2136;yellow;false;1032;yellow;true;1159;yellow;false;1752;black;true;1712;yellow;true;1344;green;true;984;yellow;true;1704;red;false;3240;yellow;true;920;yellow;false;1144;green;true;1280;yellow;false;1344;green;true;832;yellow;false;1240;green;true;1728;red;false;1904;yellow;false;759;yellow;true;1640;red;true;1720;black;true;3136;yellow;true;2216;black;true;1776;yellow;false;920;yellow;true;1080;green;true;1496;black;true;2272;green;true;1136;yellow;false;1488;black;true;1383;yellow;true;1384;yellow;false;752;yellow;true;1688;yellow;false;1624;black;true;2496;green;true;1008;yellow;false;736;yellow;true;848;yellow;false;1392;green;true;1392;black;true;2040;green;true;840;yellow;true;1064;yellow;false;1152;yellow;true;1295;green;true;1344;yellow;false;1424;green;true;1136;yellow;true;1216;yellow;false;1472;green;true;1336;yellow;false;752;yellow;true;840;yellow;false;1296;black;true;2248;yellow;true;1240;green;true;864;yellow;true;1592;red;false;2552;yellow;true;887;yellow;false;4;4;6;6;3;6;3;4;4;5;6;4;3;3;2;5;3;2;2;4;5;4;1;5;1;5;1;4;3;6;2;3;6;5;1;3;5;5;5;1;1;1;4;3;5;4;6;6;5;4;1;3;921573;positive
42;F;25;1;1;1;1;2;1;1;1;2;2;1;3;1;3;1;3;3;1;3;1;31789;a;38061;b;14007;green;true;8111;red;true;11319;yellow;false;14511;red;true;4280;green;true;6863;red;false;17711;red;true;12775;yellow;true;7271;red;true;5013;black;true;6775;yellow;true;5305;black;true;14758;red;true;6496;yellow;true;6880;green;true;5279;black;true;7400;green;true;21607;red;true;3504;black;true;4152;yellow;true;14199;red;true;7888;yellow;true;21526;red;true;3968;black;true;3552;green;true;4464;red;true;7623;yellow;true;17416;yellow;false;4583;yellow;false;3032;black;true;5992;green;true;8576;yellow;true;6255;yellow;false;4320;yellow;true;3208;green;true;8064;red;true;4071;green;true;4056;yellow;true;15463;red;true;8840;green;true;14103;yellow;false;3728;yellow;true;5008;red;false;2928;black;true;6943;yellow;true;1816;green;true;4320;yellow;true;5352;red;false;5352;yellow;true;4591;red;true;3816;green;true;6344;red;true;6008;green;true;12295;red;true;2624;green;true;3216;red;false;4591;red;true;4008;yellow;true;2560;red;true;3304;black;true;3576;yellow;true;2024;black;true;8103;red;true;5224;yellow;true;3400;green;true;2480;black;true;4840;green;true;16119;yellow;false;3152;black;true;4151;yellow;true;3624;yellow;false;3512;yellow;true;6320;yellow;false;2264;black;true;2280;green;true;3767;red;true;9152;yellow;true;8679;yellow;false;4184;yellow;false;2392;black;true;2424;green;true;3752;yellow;true;14151;red;true;4016;yellow;true;2512;green;true;3120;red;true;2992;green;true;4711;yellow;true;10984;red;true;3056;green;true;3431;red;true;4369;yellow;true;4335;red;true;1920;black;true;5152;yellow;true;2652;green;true;3883;yellow;true;5040;red;false;10528;yellow;true;2824;red;true;4;4;6;6;2;6;4;5;1;5;3;4;5;5;2;5;2;3;5;5;2;6;3;5;3;5;3;6;3;5;3;3;2;5;1;3;2;3;5;4;3;4;4;2;6;2;4;3;5;5;3;2;528747;negative
26;M;3;3;1;1;4;3;1;1;1;2;3;2;4;1;2;1;5;5;1;5;1;2864;b;2184;b;38574;green;true;3695;yellow;false;2112;green;true;2000;yellow;false;4015;green;true;2040;red;false;4096;yellow;false;3160;yellow;true;2360;red;true;2952;black;true;2647;yellow;true;1752;black;true;6424;yellow;false;2552;yellow;true;2272;green;true;2135;black;true;3295;green;true;3712;yellow;false;3008;black;true;4856;yellow;true;4343;yellow;false;4144;yellow;true;4008;yellow;false;2536;black;true;2696;green;true;3335;yellow;false;2680;yellow;true;2696;yellow;false;5048;green;true;1744;black;true;2055;green;true;4592;yellow;true;3512;yellow;false;3680;yellow;true;6551;green;true;2568;yellow;false;3232;green;true;5328;yellow;true;2871;yellow;false;2367;green;true;2416;yellow;false;2640;yellow;true;2792;yellow;false;2328;black;true;2560;yellow;true;2567;green;true;2696;yellow;true;2112;red;false;3920;yellow;true;3536;yellow;false;3079;green;true;9704;yellow;false;1960;green;true;2192;yellow;false;2872;green;true;2959;red;false;3936;yellow;false;4896;yellow;true;5519;red;true;2576;black;true;2848;yellow;true;2096;black;true;11271;yellow;false;2208;yellow;true;2056;green;true;2608;black;true;2528;green;true;1912;yellow;false;2319;black;true;1792;yellow;true;3160;yellow;false;3472;yellow;true;2960;yellow;false;3064;black;true;2735;green;true;4640;yellow;false;3016;yellow;true;3496;yellow;false;3392;green;true;1879;black;true;4480;green;true;3360;yellow;true;2272;yellow;false;3248;yellow;true;2919;green;true;2920;yellow;false;1768;green;true;2296;yellow;true;2288;yellow;false;2608;green;true;3040;yellow;false;3103;yellow;true;3496;yellow;false;1968;black;true;6104;yellow;true;2096;green;true;3159;yellow;true;1712;red;false;2816;yellow;true;2544;yellow;false;4;4;6;6;3;6;3;4;4;5;6;4;3;3;2;5;3;2;2;4;5;4;1;5;1;5;1;4;3;6;2;3;6;5;1;3;2;2;5;1;1;1;4;3;5;4;6;6;5;4;1;3;139593;positive
57;M;15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;8583;a;6824;a;2184;green;true;2592;red;true;1919;green;true;2976;red;true;2136;green;true;2072;red;false;4080;red;true;4192;yellow;true;2976;red;true;3328;black;true;6984;yellow;true;1367;black;true;1440;red;true;4560;yellow;true;8800;green;true;14583;black;true;1408;green;true;1456;yellow;false;2792;black;true;4336;yellow;true;1200;red;true;5008;yellow;true;5032;red;true;1160;black;true;1320;green;true;1520;red;true;12743;green;false;3280;red;true;1416;green;true;3224;black;true;1560;green;true;3760;green;false;1248;red;true;4815;yellow;true;1912;green;true;2616;red;true;2552;green;true;3344;yellow;true;1024;red;true;1288;green;true;1752;red;true;2664;green;false;2008;red;false;992;black;true;2560;yellow;true;1440;green;true;2032;yellow;true;2223;red;false;2800;yellow;true;1896;red;true;1072;green;true;2640;red;true;1368;green;true;1656;red;true;1456;green;true;2404;red;false;964;red;true;2080;yellow;true;1928;red;true;1224;black;true;17511;green;false;3312;black;true;2320;red;true;17880;green;false;2119;green;true;1232;black;true;9616;green;true;4064;green;false;2576;black;true;4919;green;false;5464;red;true;4464;yellow;true;1800;red;true;1704;black;true;1304;green;true;2384;red;true;6983;green;false;1553;red;true;1151;green;true;1568;black;true;1456;green;true;3232;green;false;1560;red;true;2208;yellow;true;2416;green;true;2120;red;true;1944;green;true;1968;green;false;1664;red;true;1736;green;true;1696;red;true;3568;green;false;1752;red;true;1191;black;true;5808;green;false;1936;green;true;1728;green;false;3968;red;false;2696;green;false;1664;red;true;3;4;4;4;3;4;4;3;3;4;4;3;4;3;4;4;3;4;4;3;4;3;4;3;4;3;3;3;3;4;3;3;3;3;4;4;3;3;4;3;3;3;3;4;3;4;3;3;4;4;4;5;470063;positive
30;M;12;1;1;3;1;3;1;1;1;3;5;1;3;1;3;1;5;5;1;4;1;46756;b;113458;a;14184;green;true;12503;red;true;13223;yellow;false;9847;yellow;false;3720;green;true;7848;red;false;16639;red;true;11071;yellow;true;7528;red;true;17471;black;true;7320;yellow;true;6943;black;true;24663;red;true;10631;yellow;true;7616;green;true;5496;black;true;6119;green;true;7064;yellow;false;11207;black;true;7760;yellow;true;9831;red;true;20063;yellow;true;17471;red;true;9880;black;true;3888;green;true;6263;red;true;5248;yellow;true;4880;red;true;8775;green;true;4088;black;true;4552;green;true;7719;yellow;true;95443;red;true;3760;yellow;true;2608;green;true;4232;red;true;3527;green;true;7936;yellow;true;5152;red;true;5279;green;true;3496;red;true;5784;yellow;true;3872;red;false;4319;black;true;18592;yellow;true;1832;yellow;false;6495;yellow;true;22599;red;false;8863;yellow;true;4320;red;true;4720;green;true;4760;red;true;5959;green;true;4888;red;true;5712;green;true;3048;red;false;4319;red;true;6264;yellow;true;10887;red;true;20840;black;true;9439;yellow;true;8567;black;true;5576;red;true;12423;yellow;true;5720;green;true;3584;black;true;3992;green;true;6927;yellow;false;4264;black;true;9727;yellow;true;3544;red;true;5840;yellow;true;2328;red;true;4936;black;true;3152;green;true;6311;red;true;5688;yellow;true;4008;red;true;5295;green;true;3664;black;true;5976;green;true;4816;yellow;true;3439;red;true;3912;yellow;true;5312;green;true;3840;red;true;4063;green;true;4560;yellow;true;3280;red;true;3296;green;true;4960;red;true;8319;yellow;true;7168;red;true;2648;black;true;4703;yellow;true;3104;green;true;5392;yellow;true;5560;red;false;8935;yellow;true;3368;red;true;6;2;6;6;1;6;6;6;1;1;1;6;3;6;3;6;3;1;6;6;6;6;4;6;6;6;3;4;6;6;1;6;6;6;1;1;1;1;4;1;6;4;6;1;6;6;6;1;6;4;4;6;464274;positive
26;M;6;5;1;2;1;4;1;1;1;3;3;1;1;1;3;1;4;4;1;4;1;64036;a;99081;b;6400;green;true;6551;red;true;7472;green;true;12527;red;true;7727;green;true;6856;red;false;22774;red;true;19135;yellow;true;20888;yellow;false;24280;red;false;37696;yellow;true;3718;black;true;21380;yellow;false;7445;yellow;true;13278;green;true;3871;black;true;14560;green;true;21284;yellow;false;4487;black;true;9256;yellow;true;13960;red;true;9728;yellow;true;7420;red;true;5249;black;true;5281;green;true;9433;red;true;24898;yellow;true;13045;red;true;16548;green;true;3582;black;true;4527;green;true;6948;yellow;true;7316;red;true;6251;yellow;true;2820;green;true;3999;red;true;2581;green;true;3542;yellow;true;3516;red;true;3041;green;true;3450;red;true;3610;yellow;true;4187;red;false;3169;black;true;5932;yellow;true;1432;green;true;4395;yellow;true;16809;red;false;5259;yellow;true;3082;red;true;1769;green;true;1913;red;true;2402;green;true;2121;red;true;1585;green;true;2769;red;false;2874;red;true;2233;yellow;true;3730;yellow;false;4995;red;false;3306;yellow;true;7212;black;true;7532;yellow;false;3306;yellow;true;2674;green;true;2137;black;true;2017;green;true;7445;yellow;false;1776;black;true;3130;yellow;true;2225;red;true;2474;yellow;true;2297;red;true;1841;black;true;1473;green;true;2305;red;true;1737;yellow;true;1545;red;true;7492;green;true;1385;black;true;1569;green;true;3178;yellow;true;2497;red;true;5419;yellow;true;1281;green;true;2417;red;true;2065;green;true;1953;yellow;true;1721;red;true;2618;green;true;2329;red;true;7148;yellow;true;2057;red;true;1497;black;true;1945;yellow;true;1977;green;true;2026;yellow;true;2889;yellow;true;2185;yellow;true;1673;red;true;2;3;2;4;6;3;2;4;2;4;5;2;2;4;2;4;5;4;4;5;5;4;2;4;5;5;5;2;4;4;4;5;3;2;5;3;2;3;2;4;4;2;4;5;4;5;3;2;4;2;3;5;809552;positive
42;M;15;3;2;1;2;1;2;2;3;3;4;3;3;3;4;3;4;4;3;4;3;37820;b;14015;b;10359;green;true;6903;yellow;false;19447;green;true;6753;red;true;5063;green;true;3488;red;false;4672;red;true;8815;yellow;true;3832;red;true;2344;black;true;3312;yellow;true;3447;black;true;2512;yellow;false;5528;yellow;true;6239;yellow;false;4184;black;true;3095;yellow;false;1824;green;false;1528;black;true;1888;yellow;true;1824;green;false;10263;red;false;1832;green;false;1792;black;true;1456;yellow;false;2032;red;true;3375;yellow;true;1544;green;false;4472;yellow;false;1672;black;true;3144;yellow;false;3343;yellow;true;1464;green;false;8296;yellow;true;2376;yellow;false;1232;green;false;1975;yellow;false;5320;yellow;true;5384;red;true;2992;green;true;4263;red;true;1376;yellow;true;2112;red;false;1704;black;true;4296;yellow;true;2376;yellow;false;1976;yellow;true;1607;red;false;5393;yellow;true;4655;red;true;2200;green;true;1952;black;false;2367;yellow;false;2696;red;true;1776;green;true;1096;red;false;7440;red;true;1576;red;false;1775;red;true;1704;black;true;1928;yellow;true;1344;black;true;1832;red;true;3344;yellow;true;2744;green;true;2384;black;true;6191;green;true;2864;red;true;1200;black;true;2528;yellow;true;2376;green;false;4167;red;false;2256;red;true;1272;black;true;2056;yellow;false;1336;red;true;2736;yellow;true;2120;red;true;1359;yellow;false;1200;black;true;2656;yellow;false;1928;yellow;true;1528;red;true;1872;yellow;true;2377;green;true;3430;red;true;2376;green;true;2970;yellow;true;1846;red;true;1776;green;true;2504;red;true;2672;yellow;true;1456;red;true;1424;black;true;3255;yellow;true;2009;green;true;5015;yellow;true;1336;red;false;9103;yellow;true;1672;red;true;2;5;5;5;3;4;3;4;4;5;3;4;4;4;3;4;3;4;3;4;4;4;5;4;5;3;5;4;5;5;3;3;4;3;3;4;3;3;4;4;3;3;4;3;4;4;5;3;4;4;4;4;742829;negative
38;F;19;4;1;3;1;4;1;1;1;4;3;1;4;2;4;1;4;3;3;4;2;51884;a;27790;b;7163;green;true;1871;green;false;12239;green;true;5072;red;true;7383;green;true;6472;red;false;9847;red;true;7368;yellow;true;8496;yellow;false;6927;black;true;15543;yellow;true;7967;black;true;10040;yellow;false;9527;yellow;true;5984;green;true;3519;black;true;5952;green;true;15455;yellow;false;5624;black;true;8191;yellow;true;6328;red;true;5175;yellow;true;12999;red;true;3896;black;true;5584;green;true;6711;red;true;4520;yellow;true;14279;yellow;false;4560;green;true;3832;black;true;7295;green;true;6392;yellow;true;4783;yellow;false;8464;yellow;true;4551;green;true;20583;red;true;6200;green;true;3639;green;false;8120;yellow;false;4096;green;true;9488;yellow;false;5870;yellow;true;7944;yellow;false;4928;black;true;5575;yellow;true;3176;green;true;4912;yellow;true;12735;yellow;true;6688;yellow;true;4328;yellow;false;7255;green;true;4248;red;true;4799;green;true;7672;yellow;false;6775;green;true;3920;yellow;true;6408;yellow;false;5119;yellow;true;5424;yellow;false;11495;black;true;6216;yellow;true;3808;black;true;4607;yellow;false;3704;yellow;true;3392;green;true;1528;green;false;3231;green;true;9984;yellow;false;3312;black;true;7023;yellow;true;3784;yellow;false;4960;yellow;true;4751;yellow;false;3768;black;true;3128;green;true;3040;red;true;10103;yellow;true;12007;yellow;false;4224;green;true;2872;black;true;3335;green;true;3346;yellow;true;5903;yellow;false;4256;yellow;true;4375;green;true;5144;yellow;false;3488;green;true;5016;yellow;true;4023;yellow;false;6008;green;true;10711;red;true;5800;yellow;true;2680;red;true;3055;black;true;8216;yellow;true;2408;green;true;3672;yellow;true;5951;yellow;true;5256;yellow;true;5984;red;true;5;6;6;6;3;6;2;6;5;5;6;4;3;4;2;4;3;1;3;4;4;5;3;4;2;3;3;3;4;3;2;4;2;4;2;3;3;3;2;3;2;4;4;3;4;3;4;4;4;4;3;3;273443;positive
51;M;36;1;2;2;2;4;2;2;1;2;2;2;4;1;3;3;4;4;2;4;2;42646;a;39550;b;17111;green;true;9583;red;true;5280;green;true;11375;red;true;6104;green;true;8887;yellow;true;11032;red;true;8231;yellow;true;17647;red;true;18352;black;true;9159;yellow;true;6880;black;true;12431;yellow;false;6464;yellow;true;3031;green;true;2984;black;true;6864;green;true;8391;yellow;false;5304;black;true;4896;yellow;true;15007;red;true;4472;yellow;true;9319;red;true;4464;black;true;4952;green;true;7663;red;true;3216;yellow;true;7224;red;true;9135;yellow;false;2024;black;true;7904;green;true;2984;yellow;true;4511;red;true;4648;yellow;true;5096;green;true;5000;red;true;3463;green;true;3360;yellow;true;2744;red;true;4632;green;true;3608;red;true;3719;yellow;true;5552;red;false;2096;black;true;1968;yellow;true;2488;green;true;2592;yellow;true;6735;yellow;true;3000;yellow;true;2984;red;true;2976;green;true;6215;red;true;4616;green;true;5360;red;true;2488;green;true;4736;yellow;true;8439;red;true;3128;yellow;true;5344;red;true;3479;black;true;2568;yellow;true;2184;black;true;15599;red;true;5960;yellow;true;1984;green;true;1304;black;true;2880;green;true;8279;red;true;1496;black;true;4368;yellow;true;2936;red;true;2112;yellow;true;2768;red;true;1087;black;true;1744;green;true;4008;red;true;2664;yellow;true;4848;red;true;2768;yellow;false;1592;black;true;2751;green;true;2840;yellow;true;1664;red;true;3256;yellow;true;3424;green;true;4072;red;true;3479;green;true;2072;yellow;true;1296;red;true;2832;green;true;1560;red;true;1976;yellow;true;4808;red;true;1240;black;true;2287;yellow;true;5128;green;true;1576;yellow;true;2768;yellow;true;2512;yellow;true;1816;red;true;3;4;5;5;2;5;5;5;5;5;2;5;2;5;5;5;4;4;5;5;4;5;4;4;5;4;5;4;5;5;4;3;4;4;5;3;5;3;5;5;4;4;4;2;5;3;5;4;4;4;4;3;384827;negative
30;M;6;2;2;3;2;3;2;3;1;2;2;2;3;3;2;2;3;3;3;3;2;29137;a;30064;a;9304;green;true;9480;red;true;4904;green;true;16440;yellow;false;2728;green;true;4608;red;false;9336;red;true;7848;yellow;true;93873;yellow;false;34463;black;true;5401;yellow;true;4872;black;true;11080;yellow;false;2640;yellow;true;4600;green;true;5704;black;true;4904;green;true;31096;yellow;false;5424;black;true;4200;yellow;true;6272;yellow;false;4113;yellow;true;6288;yellow;false;8704;black;true;4720;green;true;3240;yellow;false;5928;yellow;true;2104;yellow;false;2368;yellow;false;1916;black;true;1764;green;true;2216;yellow;true;2272;yellow;false;5688;yellow;true;1536;green;true;3096;yellow;false;2488;green;true;1680;yellow;true;3336;yellow;false;2168;green;true;3240;yellow;false;3592;yellow;true;7448;yellow;false;2312;black;true;6808;yellow;true;1448;green;true;1768;yellow;true;3640;red;false;1896;yellow;true;2328;yellow;false;1632;green;true;10464;red;true;2888;green;true;3080;yellow;false;3385;green;true;2143;red;false;2488;yellow;false;2992;yellow;true;6416;yellow;false;21393;red;false;3856;yellow;true;1864;black;true;13184;yellow;false;3944;yellow;true;3928;green;true;2320;black;true;2248;green;true;12096;green;false;3560;black;true;2648;yellow;true;3592;yellow;false;2784;yellow;true;4080;yellow;false;3592;black;true;2904;green;true;3320;yellow;false;3496;yellow;true;3456;yellow;false;3776;yellow;false;2272;black;true;2216;green;true;6144;yellow;true;10680;yellow;false;3824;yellow;true;2272;green;true;6672;yellow;false;2592;green;true;2600;yellow;true;3984;yellow;false;2936;green;true;2664;yellow;false;2960;yellow;true;4145;yellow;false;3080;black;true;4095;yellow;true;2064;green;true;3193;yellow;true;2728;red;false;7192;yellow;true;1848;yellow;false;5;5;6;6;5;6;6;5;5;5;5;6;2;2;2;5;3;2;5;4;3;3;1;2;2;4;4;4;4;2;6;2;5;5;2;1;2;1;4;4;2;2;3;2;4;4;5;4;5;4;5;4;954484;positive
