;6cas;8cas;11cas;14cas;20cas;22cas;27cas;32cas;34cas;38cas;42cas;45cas;47cas;48cas;49cas;56cas;58cas;61cas;64cas;70cas;72cas;77cas;82cas;84cas;88cas;92cas;95cas;97cas;98cas;99cas
;1680;1632;2056;1640;1335;3032;2552;1528;1208;1120;1480;1960;1504;1416;1040;1224;1288;1280;1968;1376;1152;936;1024;888;1168;2712;1200;856;1320;1168
;7616;10736;13199;11247;9864;7080;5096;7384;2239;2872;8120;2848;4840;1288;1736;2864;3552;13295;2256;5631;4560;2072;1776;2224;10384;78499;90946;1752;1888;3807
;20967;15703;7983;15248;9200;9745;19047;6495;8620;10808;6776;5863;4336;3143;12184;4457;7800;4263;3696;2912;6129;7057;4744;6463;9967;3872;4783;7335;2208;7888
;82686;9256;5264;6911;4272;5664;3616;5512;2664;2176;3248;5952;2304;4512;4184;2697;79879;1464;1216;2384;1712;1513;7751;2312;13640;6824;1816;3072;2472;3136
;8631;20269;11934;21973;8505;15663;9871;15759;15695;13487;9320;7751;11431;3560;7343;8175;4831;7111;6151;9143;4120;14255;4376;7440;5096;4927;5423;5480;1872;7831
;9735;19951;15744;8600;319420;4528;19472;11039;5224;2728;7704;22031;8552;12399;5784;5727;3984;7168;6783;6136;5048;5416;8208;4040;3048;3336;3584;2640;3352;4903
;5200;1024;5800;2208;1272;1712;1096;2319;848;1144;1064;2168;4575;4976;1952;1384;3855;3496;992;824;848;832;1368;752;872;888;832;4424;1232;1440
;2054;6676;9083;2558;9659;11938;7459;8012;6724;8196;10914;2246;3686;5829;9571;2631;8867;11609;12861;3695;3319;9414;5878;7319;8022;4663;2512;2656;2295;5703
;1166745;5032;5504;4592;7784;3960;11872;4297;4416;4600;6193;3608;4305;21326;3305;1840;4512;8112;2552;4032;4280;3527;1872;2976;2495;2456;4512;1639;2664;2720
;22263;34384;8504;6360;5919;3200;14128;9912;5272;3600;6328;5944;19184;5831;3344;3464;3945;12119;3136;4472;3503;2992;4728;2592;8048;4768;8232;5000;3240;2623
;2616;6000;4936;2759;2472;2912;3856;2432;5575;7671;2871;2903;2000;2271;2344;1479;1736;4543;2208;2712;1968;1568;3728;3488;2008;1937;2880;1392;2128;1927
;21775;6368;22967;8431;8928;13343;8104;8655;5176;7528;5024;8232;5911;4928;7904;13807;5616;8680;3200;2992;2967;5928;5120;5640;6919;3000;2807;12128;12384;7183
;3616;9704;9840;4560;3352;7704;6647;4384;4352;5704;7016;3319;3408;3896;6687;2824;4240;8376;5864;3368;4120;5592;2976;3936;3456;8135;8432;2952;3296;3176
;11338;4917;7052;4574;5351;4263;4335;3626;3016;6175;3704;52261;3951;8942;3687;6174;3694;5567;3448;3319;4743;3103;2648;5783;3975;4355;3295;2376;2272;4735
;7648;6264;6376;6872;8399;4569;9016;12088;9336;6911;9663;8719;5480;25262;16839;4528;3968;19943;4519;3488;4335;7271;10231;5824;5736;16063;3176;5703;3992;3664
;8248;6120;3455;3592;6400;4152;3472;2112;2488;3192;2456;2839;2303;3280;2768;2256;2384;2240;2256;2240;2328;1944;2304;1824;2224;2664;2744;2184;3024;2488
;5271;8383;16719;4216;7951;2808;7912;3655;4983;5671;2008;4128;2808;1872;3423;2144;1896;2848;1720;5511;1280;1903;3072;1064;1144;904;1264;1304;2143;2184
;6856;19135;37696;7445;9256;9728;24898;6948;6251;3542;3610;5932;4395;16809;5259;2769;2233;3306;3306;3130;2474;1737;3178;5419;1953;7148;1945;2026;2889;2185
;3744;5647;4968;3967;3320;7679;5184;3240;3896;2840;2432;2960;6160;7984;4823;2808;2600;3647;2424;2360;5192;2232;2904;4320;8287;2920;2607;2832;7016;3680
;3736;4680;5312;7584;4608;7056;3896;4856;9744;6104;5255;4776;4240;4975;4240;3312;5655;9279;6752;4991;38182;5672;3488;6953;7232;5759;4304;3288;2432;8072
;6560;4775;19031;4159;11702;8750;8199;5247;3383;5665;5583;10967;3648;2600;1720;3393;21221;5968;1256;3856;1560;4856;2920;3392;2024;3120;3519;2288;4791;8280
;13127;4232;5880;5535;3632;5207;4632;2743;4176;7024;2895;4031;5464;7271;4151;2961;2280;5695;5951;4456;5552;2720;6015;4544;4632;5816;3696;3872;2680;2360
;6304;2792;18592;9711;6128;5191;2176;2392;3016;3168;15191;4312;3800;7352;8952;4824;7215;20055;4032;8592;4672;3648;4064;3400;3176;2920;3631;2335;2904;4056
;6088;18055;5280;4080;4696;7416;8055;2416;13887;3792;3359;3215;7072;4951;3584;6623;7975;2712;3511;3064;2337;5983;2632;3096;2404;5335;7160;3056;2392;2328
;12816;57639;12367;8712;12648;10856;9944;5544;6016;6384;8232;7144;8640;6760;12880;4120;4184;7496;3912;4960;12168;8584;4200;9616;6944;4736;4480;4480;5215;9832
;3464;7911;4015;3664;4799;2439;19678;3231;3863;3631;4439;10551;3648;2328;3999;2136;3023;4584;3240;2640;1960;3512;7959;3656;4175;2488;6544;4831;1160;4544
;9295;11959;5184;11135;4271;10296;12232;13432;11624;12879;4264;15159;6612;8567;12616;3087;4184;11023;4231;3416;29879;2977;3535;11367;9216;3232;14359;2664;3064;7055
;8232;5880;8197;5585;5779;3967;4189;5207;7779;3021;3865;4243;9413;9344;5950;2844;3006;7035;3582;8603;6479;2843;4311;6261;4081;2340;2719;2655;5659;3077
;14543;8343;10751;7024;4368;7959;14648;12704;9303;7775;6408;8016;3528;4752;5640;4336;6479;12431;4807;6927;10607;20639;10536;16696;5720;4728;5160;3528;3504;12135
;4863;3160;5311;3264;5640;5760;5447;4584;2760;3168;2920;2735;1431;2864;3040;2704;4656;2849;2584;2312;1968;2001;2704;2216;2096;1856;1880;2184;1680;1728
;8887;8231;9159;6464;4896;4472;3216;2984;4648;3360;3719;1968;2592;6735;3000;4736;3128;2568;5960;4368;2112;2664;2840;3256;2072;1976;2287;1576;2768;2512
;2672;5200;2466;1888;2519;3952;1640;1760;2920;5025;3128;2280;1448;2160;1440;1272;1352;1736;1288;1680;1024;1416;1392;1760;2528;1208;3928;1032;1176;1568
;15537;12041;4120;8433;7017;4088;5272;7976;5017;14081;4192;15937;7744;4129;24209;4248;4745;5168;4689;10552;2887;12231;4935;17903;6967;4503;4111;5904;4383;3008
;7848;11071;7320;10631;7760;20063;5248;7719;3760;7936;5784;18592;6495;22599;8863;3048;6264;9439;12423;9727;5840;5688;4816;3912;4560;8319;4703;5392;5560;8935
;10968;27464;6947;9256;7199;7023;5776;4120;4816;3751;8878;7801;3282;1518;2904;1425;2930;5143;4586;3527;4257;3611;2687;7080;3071;2343;4930;3250;1997;1840
;6472;7368;15543;9527;8191;5175;4520;6392;8464;3639;5870;5575;4912;12735;6688;3920;5119;6216;3704;7023;4960;10103;3346;4256;5016;5800;8216;3672;5951;5256
;11984;11751;16935;26799;20887;14495;4008;3743;8832;12304;10344;8248;5728;4711;12720;3480;11800;14464;7167;3888;11415;12191;41;2864;2824;2600;4864;4088;2904;7159
;8271;73596;7528;6152;6863;13855;24518;11295;30054;10480;6016;10336;10135;5808;11991;6447;21199;11919;10319;9919;11023;4448;9503;5511;5768;4688;7063;5224;5415;14103
;6712;11416;12863;9424;4855;4008;5416;7352;6584;5992;2424;5936;1976;1856;2528;2288;1040;17880;5431;4200;10175;2984;4408;5888;1816;8672;4776;2944;1896;3984
;10352;6968;14904;12136;6904;7592;7552;12447;8504;10336;5791;3568;2887;18552;4656;4751;6568;6416;3296;7343;5440;4232;24792;3208;2280;2672;5872;2840;1976;3472
;6879;5736;3207;3144;3088;3032;2103;1592;3096;2048;2632;1880;1919;1656;2272;1808;3672;2192;3464;1911;2464;2048;12800;1544;2096;2888;2168;1240;2256;1712
;5952;7064;12999;9191;18383;4520;3312;4200;5080;10503;2640;3088;3048;6720;2672;4471;6656;10768;1880;4896;2584;2720;2744;4376;6624;2656;3855;3616;6552;8823
;11904;7612;5469;3151;8236;9097;2374;2769;6461;1936;6456;4183;12039;18831;3742;3168;3328;9224;3655;13833;10368;8825;4097;6918;2849;3759;6415;2207;5097;12243
;10063;16014;10531;10707;6706;7865;9587;4810;6706;6985;6945;26293;11461;10237;12342;5167;9103;6405;6411;3365;4444;2881;3930;4071;7730;2666;2397;4500;3737;3287
;6056;8703;8439;4575;4344;8416;4112;3208;1816;3632;4192;2912;2800;2288;1904;2256;3335;4944;4088;2832;4048;1648;3352;2632;1432;3152;2872;1887;1392;2360
;26639;4256;12446;9922;5475;5189;4667;3540;13002;5347;6120;5718;8470;12977;5884;19529;4367;6381;14459;36334;4824;508;21614;5709;2504;3750;4360;2393;1211;2588
;8384;9551;12991;9943;7391;6336;4703;9896;5839;5016;4407;9000;9752;1986;1567;1656;2064;8696;1447;1563;3600;1286;1136;1984;1106;1919;3880;2112;1024;2040
;1447;3927;14382;5880;2848;7952;247;2032;6824;2592;4463;4264;2152;3088;2696;3351;5511;8287;3730;2960;8368;6480;1856;5016;3352;5399;21215;1992;4855;2616
;5176;3743;4672;1688;1856;1448;1432;1953;1865;3104;1112;3128;2472;3623;3024;1624;2672;4525;3183;2176;5336;2656;1960;1808;2433;1728;2680;1776;1208;1551
;1376;4856;4224;2902;3224;9975;9712;3288;5288;3984;7680;5567;5456;1088;2296;1416;10967;2464;2992;3816;5287;7728;22878;15655;1672;4288;2304;4312;1360;3464
;5895;4479;4072;5048;5824;3376;6976;7008;3519;3112;3921;10087;2856;2776;51711;3872;4336;5904;2464;2416;2448;3151;7123;3392;1584;44479;2432;1920;2320;3783
;7935;11727;9767;9503;6207;6663;4672;12800;6640;8999;7960;7831;8599;2992;4055;2048;11647;4800;4480;3408;3215;5577;6432;3592;4511;3119;5960;1744;3056;2656
;7767;4344;5272;7816;12472;4031;3816;6032;5144;4760;3872;6440;3455;4720;6144;6615;8879;10655;8536;3568;6408;2831;12047;5216;11456;3055;3063;2520;2528;3192
;1336;4152;22518;4880;3600;7216;2368;2623;1544;5240;1952;2184;3624;2368;5168;1791;920;6191;2712;2568;1240;1336;2680;5648;11808;984;920;3495;920;1280
;9784;4408;7496;4672;5015;6457;4256;2999;2448;2719;3360;2856;3535;7576;3936;3408;3528;3889;5352;4480;2440;4999;2512;2856;2768;2720;3040;2352;4488;4376
;1615;2584;3048;1816;1832;3464;2200;2552;3184;2728;9527;2368;2088;7792;3103;1968;1880;1488;1744;1488;1512;2120;1752;2616;1728;2560;1336;1976;1640;1976
;2072;4192;6984;4560;4336;5008;12743;3760;4815;3344;2664;2560;2032;2223;2800;2404;2080;17511;17880;4919;4464;6983;3232;2208;1968;3568;5808;1728;3968;2696
;14591;18943;10319;30239;52982;11335;35030;13176;13696;14160;11367;31830;8792;6735;10496;4224;9017;22967;8759;5679;6216;5447;10008;6880;5296;8528;10912;4392;6544;43350
;19487;6224;9967;7583;4648;6088;3519;4399;2208;4632;5144;5016;5823;16848;2720;11335;6008;5103;5920;5168;6200;3088;4000;9879;3113;4776;4784;2600;4735;3480
;15791;11527;9263;4407;7408;4184;2887;3151;6600;4727;5736;7647;3784;8663;4632;2544;3112;3223;1920;3863;2960;7760;6303;4639;2688;3624;5216;2512;7647;2992
;10231;10159;6664;6224;5544;7216;20527;6063;3840;5144;4664;12167;3687;5624;3248;6776;8303;4455;6584;3984;4312;3240;3660;5463;5624;4559;5040;4928;4760;4872
;11165;6030;8478;7734;6455;5063;2800;3231;25683;3455;4023;2712;3312;3751;4719;3159;2392;3967;3744;4528;4751;8031;2431;2664;5768;4368;4968;2304;1679;1352
;7527;6440;6168;3743;3864;4112;4711;6447;5320;5463;7448;7000;5728;6807;7672;5464;6503;8448;8352;6440;4872;6880;4776;4792;5160;5792;4656;5568;4623;3984
;22626;8789;12140;8235;6625;9067;8357;3128;7111;5655;4166;16105;3488;1487;3639;1635;12558;9366;4529;2905;7222;4482;2258;3057;5087;9239;6920;2684;5887;12594
;4608;7848;5401;2640;4200;4113;5928;2216;5688;1680;3592;6808;1768;3640;1896;2143;2992;3856;3944;2648;2784;3496;6144;3824;2600;2960;4095;3193;2728;7192
;27630;24447;12055;5560;17487;5384;3736;6616;7727;6384;8359;6991;6039;6103;1760;2128;4288;7936;2991;1665;4624;8136;1287;1480;1496;1632;2192;1455;1976;2616
;1760;2368;2024;2863;2360;3136;1448;2751;1016;2512;880;1592;1865;1463;1848;3008;1104;3177;2752;1024;1608;856;1128;1056;2096;1536;1320;1208;1552;1896
;10704;59293;11239;15135;5808;9392;5872;5680;4576;23406;8752;4728;5000;4471;7336;4503;5000;5616;3664;4079;5471;3568;11520;4384;4064;7424;5447;3824;1720;3416
;5872;10568;5159;4632;15711;3296;2504;5064;4048;2232;2711;6887;2000;3056;2096;1616;2696;4128;4031;4232;1920;1704;2072;1504;2199;1944;2390;2455;3592;2544
;8431;6647;4485;5152;9086;15721;4898;3840;15181;16589;8825;3720;8304;7568;7014;3415;6072;14175;4662;6703;11607;531090;132869;11840;3137;5793;3904;3231;3472;11424
;4008;3848;4400;3328;7200;3456;4400;3312;2801;3344;3240;5599;3576;3304;3208;3864;2768;4120;3184;3832;3296;3440;3376;2712;3560;3096;5087;2184;2408;2408
;23528;14576;11103;17480;11279;6031;3928;6207;5840;10432;8471;18512;8024;9079;8784;7968;3591;4584;2744;2016;2920;2312;6304;4559;3176;3896;4328;13983;4048;2696
;992;824;808;1040;920;15456;744;1121;760;704;856;3336;760;696;784;664;1200;1888;2184;904;1360;896;728;784;888;848;986;761;703;792
;7552;12359;10984;10032;15175;6855;5175;4168;5191;4400;8231;4871;5456;4896;3935;6311;14861;14287;10223;17791;13599;6839;9326;6614;13172;18988;5782;4287;11333;10286
;1376;1456;1448;2832;1656;3336;2193;1272;1968;10047;2120;3295;1328;1464;1136;1400;1200;11951;984;4192;1344;3664;1584;1296;1712;2248;1664;2912;1168;1032
;15975;8135;10039;6336;12128;4472;9080;3183;5128;4992;4336;9535;3384;6352;4935;5736;3504;8679;2880;6680;4272;4487;4536;7543;3328;3416;4351;4624;4648;5031
;7855;8287;4792;4471;3520;4176;4568;5120;2600;2304;3344;6000;6519;3274;3430;2314;2128;10663;4064;9415;2904;4839;2384;3504;1928;2392;3096;3863;2200;1368
;2416;2568;3328;2352;1960;2728;2848;3840;1976;2080;1863;12335;1472;2648;1623;1528;3072;2760;1810;2120;1968;2472;1680;2088;3183;1936;2968;1424;1464;1712
;6575;10127;6560;4160;4304;22423;2880;4704;3096;2880;3791;3031;4992;3967;3384;3088;2639;3336;2960;2976;2976;3081;4864;4544;2488;2264;4504;2424;3952;2512
;2016;2408;3112;1344;1448;1672;2504;1928;1440;1672;1184;1208;1656;920;1233;1552;2424;2512;1520;1656;1689;1592;2320;1952;2000;1536;1816;1288;1752;2104
;6792;5473;6585;11944;12241;4721;7440;14282;4976;5416;5040;6201;7105;5752;7153;6087;11322;6245;6180;7963;13608;7300;6405;9563;6564;5149;6572;6972;3790;7500
;15151;5264;7296;2974;3583;3440;3264;2192;5447;2730;1784;2223;2023;2874;3726;2168;4351;3240;4416;9911;10823;3512;2904;2447;19895;1720;3719;3304;3072;3048
;16184;5319;11063;4071;4687;4088;5088;4136;3616;3592;8040;12503;5304;1936;6455;2608;4367;7440;3575;4480;12008;5496;5032;6008;3880;2920;6192;2000;1928;1296
;7111;552;696;657;1112;400;344;10552;6032;3072;9623;10408;1823;2593;1335;3344;6919;3176;3152;12159;3215;3463;4896;2384;3848;8911;6616;1256;3384;1535
;5104;9471;6655;2896;4584;7015;4704;9063;9151;4360;9231;7728;7904;8423;7183;3352;9527;11967;6919;4776;5608;2783;6983;2240;3184;2543;5456;11543;1888;2175
;2904;7615;10773;10592;8219;13650;3597;7948;6503;7967;3871;6945;9972;1882;6767;1927;15422;3576;5151;7283;2840;204;4211;2493;4945;4311;7025;7291;1270;4234
;6776;8248;8463;6704;5911;5264;3512;3944;2248;3800;1255;3208;2284;5624;1528;3616;1744;4384;1552;1280;1344;4887;1624;2208;1864;1359;7416;1672;2128;1440
;8495;8935;15373;9246;9860;6335;6935;27861;2848;9423;3896;6760;12431;60090;6152;11247;4704;7295;4536;4208;6399;113563;6975;8400;15408;4008;6800;15351;30855;4568
;20509;9774;5815;12558;4247;7103;3335;4447;5391;7839;5383;3248;4483;5576;4231;6495;3000;3479;2783;19702;6872;2792;3976;3232;3135;5207;1552;3599;3161;2199
;3256;1848;4584;2016;2552;2264;3304;1640;1745;1280;2904;1344;3352;1776;3032;1600;2280;3144;5847;3440;4440;1945;1360;2408;2152;1856;2512;2088;1984;1552
;3072;2161;3073;4487;3983;2088;1870;2415;3102;2026;3189;4879;1536;2992;1808;1472;2264;4533;1441;1454;1817;1747;1270;1320;1224;1164;1737;1552;1441;4344
;8807;56644;30622;8855;5264;8327;6855;8832;4008;5072;9231;10815;11975;6208;32053;7056;7024;18183;36246;17927;17063;3760;2374;3160;12359;4280;2705;2672;56652;4784
;3488;8815;3312;5528;1888;10263;3375;3343;8296;5320;1376;4296;1976;1607;5393;1096;1576;1928;3344;2528;4167;2736;1928;1872;2970;2672;3255;5015;1336;9103
;5096;20351;14232;5136;4232;4704;4008;4272;5040;3104;4120;5512;3592;2544;3560;2560;3640;4280;4488;4751;2752;2439;3992;2445;2416;2944;2719;2976;2008;2344
;6032;10936;7984;7160;13200;6184;13280;5632;3672;3271;1912;3376;3096;2848;3400;2936;1760;3104;1880;2095;1432;1928;1144;1256;1712;1119;1976;2264;1864;1776
;2040;3512;7075;3395;3760;2775;2639;5400;4857;2322;5119;4968;2656;1736;5439;1961;1175;5250;2135;2161;3337;7449;7032;1336;1904;480;240;640;174;180
;5847;2456;7280;2320;6791;6944;3849;4527;3504;103740;8271;4208;5784;1911;10408;1496;4408;19479;26271;5040;2944;5864;4120;3583;3880;1932;5439;1872;1824;1272
;13711;20711;10072;8807;11543;7839;5976;5464;26006;9151;19840;4992;20575;2384;4920;60550;9384;4808;5528;11816;23168;4208;17743;4112;10704;9383;11544;6144;3960;8080
;19736;45375;9816;9415;4320;4376;144642;1632;2568;17990;2744;2560;45684;3543;1144;4967;48363;2767;2424;7776;2919;5511;5543;3248;4431;1992;1615;2608;1864;1640
;10599;17680;8256;5264;13607;6552;6671;9280;3863;2728;1360;1424;2376;760;912;16704;6143;2328;8562;5152;15272;2664;3544;2640;2272;1608;1336;1856;2256;3744
;7480;12048;18008;11767;8112;5879;11361;7920;5824;3488;3680;1656;11863;5800;6216;3936;4624;5200;3184;4272;3328;7312;1480;2128;2593;2232;4721;2096;1608;1816
;1167;1416;10775;1760;1224;1520;3464;1951;1864;3871;3648;1824;1311;1056;2344;1504;1960;2159;1480;1495;2848;1328;944;1160;1704;2296;1296;3536;1896;1439
;4383;8073;5976;6256;9144;7288;3079;5209;4120;3959;2880;8048;5184;1479;3024;1560;6648;7856;2304;2799;4281;6888;2880;3031;9744;2888;7664;2769;2399;7000
;5776;13711;5568;6712;4832;10527;8279;7247;7008;7352;4464;3231;5135;15543;5328;4944;4512;3648;5831;2072;4616;3528;1616;1383;1696;5233;2080;3624;16495;5383
;9502;7567;15463;7576;4992;8680;8576;4936;10008;12191;4160;5208;3816;4312;4704;4936;5023;5064;3784;3799;4328;6063;2528;4240;3896;4232;3784;3112;1976;4552
;6863;12775;6775;6496;4152;7888;7623;8576;4320;4056;3728;6943;4320;5352;5352;3216;4008;3576;5224;4151;3512;9152;3752;4016;4711;4369;5152;3883;5040;10528
;4304;1192;1752;2816;1177;1416;1079;968;840;1384;1144;1224;1312;1408;1104;1144;1272;1200;1192;928;800;1112;1376;800;928;672;1168;744;560;1336
;2072;1376;1080;1136;1816;1400;1440;1040;1456;1008;1688;13975;928;1480;2568;1592;1616;1224;856;1064;1520;1104;5096;1232;1720;1152;1176;1176;1344;968
;5008;2696;2376;3256;2056;3616;2968;2632;3192;1888;3216;2544;2192;9568;3960;1712;3504;2136;2104;3031;3256;2536;2328;2360;2712;1560;5136;2184;1360;7263
;4448;5464;1896;2552;2048;5872;1688;1840;3008;1704;2776;2464;1600;1112;1680;1176;1464;1792;1538;2144;1848;1128;4632;1744;3040;1824;3839;3352;1512;2848
;6111;11879;8647;9200;8048;9991;7631;6128;6848;6016;8176;12775;5465;5853;7495;5744;6432;9848;5200;7288;4536;7569;4583;8879;7752;3615;5016;5623;5480;5042
;14032;12375;5399;4520;13015;5176;13168;10239;5904;7543;5416;4096;12663;3008;3520;4120;6280;12656;3216;6040;3312;2432;2720;6080;1760;4512;2952;10856;4497;2703
;1376;1024;5008;816;2560;1088;1064;1056;880;1632;1032;1712;984;1704;3240;1728;759;3136;920;1383;752;736;840;1152;1136;752;2248;864;1592;2552
;3512;2480;4239;6240;3728;4600;5024;4720;3024;5672;2048;3391;4168;1328;7152;3400;2503;2943;6136;2160;6792;5784;2264;5711;2832;1671;3416;2400;1368;5096
;3176;25047;4615;5136;5368;3176;1768;2032;2288;3808;6704;9951;3440;4472;4208;1768;8463;6544;5264;2912;3839;2504;3312;3536;5672;3215;2757;5576;1576;1936
;20711;12583;17191;21998;13593;10679;17998;6135;5447;5863;6951;5320;9041;4910;7816;5599;4294;5433;4568;8743;8944;3847;4840;8816;4592;7215;11839;3680;2344;3791
;2304;2976;3199;2160;2688;4863;2288;8368;2592;4408;3336;1672;4848;1919;2488;1775;1280;3304;1968;2696;2224;1272;3760;4528;4735;1679;2120;1752;1696;960
;19383;14031;26070;7679;10912;7711;6023;5583;5152;8160;4752;4848;3880;6103;4728;2992;8655;9872;6799;7328;4576;5032;26446;4736;6568;2952;8096;4360;2864;4264
;6480;11279;11144;5184;5776;7671;6504;4968;10192;9512;8735;7200;5975;3824;5824;3695;5960;5647;2056;8752;4208;3200;3807;3200;6368;2527;3072;4088;4016;2792
